date,season,rank,school
2021-03-02,2020-21,10,South Dakota State
2021-03-09,2020-21,1,Auburn
2021-03-09,2020-21,2,Georgia
2021-03-09,2020-21,3,Oklahoma State
2021-03-09,2020-21,4,SMU
2021-03-09,2020-21,5,Fresno State
2021-03-09,2020-21,6,Texas A&M
2021-03-09,2020-21,7,TCU
2021-03-09,2020-21,8,South Carolina
2021-03-09,2020-21,9,Baylor
2021-03-09,2020-21,10,South Dakota State
2021-03-16,2020-21,1,Auburn
2021-03-16,2020-21,2,Georgia
2021-03-16,2020-21,3,Oklahoma State
2021-03-16,2020-21,4,SMU
2021-03-16,2020-21,5,Fresno State
2021-03-16,2020-21,6,Texas A&M
2021-03-16,2020-21,7,TCU
2021-03-16,2020-21,8,South Carolina
2021-03-16,2020-21,9,UC Davis
2021-03-16,2020-21,10,Baylor
2021-09-14,2021-22,1,Auburn
2021-09-14,2021-22,2,Georgia
2021-09-14,2021-22,3,SMU
2021-09-14,2021-22,4,Oklahoma State
2021-09-14,2021-22,5,Texas A&M
2021-09-14,2021-22,6,TCU
2021-09-14,2021-22,7,Fresno State
2021-09-14,2021-22,8,Baylor
2021-09-14,2021-22,9,South Carolina
2021-09-14,2021-22,10,UT Martin
2021-11-03,2021-22,1,Oklahoma State
2021-11-03,2021-22,2,Auburn
2021-11-03,2021-22,3,Baylor
2021-11-03,2021-22,4,Texas A&M
2021-11-03,2021-22,5,Georgia
2021-11-03,2021-22,6,Fresno State
2021-11-03,2021-22,7,SMU
2021-11-03,2021-22,8,UC Davis
2021-11-03,2021-22,9,TCU
2021-11-03,2021-22,10,Delaware State
2021-11-23,2021-22,1,Oklahoma State
2021-11-23,2021-22,2,Texas A&M
2021-11-23,2021-22,3,Auburn
2021-11-23,2021-22,4,Baylor
2021-11-23,2021-22,5,Georgia
2021-11-23,2021-22,6,SMU
2021-11-23,2021-22,7,Delaware State
2021-11-23,2021-22,8,Fresno State
2021-11-23,2021-22,9,UT Martin
2021-11-23,2021-22,10,TCU
2022-02-01,2021-22,1,Oklahoma State
2022-02-01,2021-22,2,Texas A&M
2022-02-01,2021-22,3,Auburn
2022-02-01,2021-22,4,Baylor
2022-02-01,2021-22,5,Georgia
2022-02-01,2021-22,6,SMU
2022-02-01,2021-22,7,Fresno State
2022-02-01,2021-22,8,TCU
2022-02-01,2021-22,9,UT Martin
2022-02-01,2021-22,10,Delaware State
2022-02-15,2021-22,1,Oklahoma State
2022-02-15,2021-22,2,Texas A&M
2022-02-15,2021-22,3,Auburn
2022-02-15,2021-22,4,Georgia
2022-02-15,2021-22,5,TCU
2022-02-15,2021-22,6,Baylor
2022-02-15,2021-22,7,SMU
2022-02-15,2021-22,8,Fresno State
2022-02-15,2021-22,9,UT Martin
2022-02-15,2021-22,10,Delaware State
2022-03-01,2021-22,1,Auburn
2022-03-01,2021-22,2,Oklahoma State
2022-03-01,2021-22,3,Texas A&M
2022-03-01,2021-22,4,TCU
2022-03-01,2021-22,5,Baylor
2022-03-01,2021-22,6,Georgia
2022-03-01,2021-22,7,SMU
2022-03-01,2021-22,8,Fresno State
2022-03-01,2021-22,9,UT Martin
2022-03-01,2021-22,10,Delaware State
2022-03-08,2021-22,1,Texas A&M
2022-03-08,2021-22,2,Oklahoma State
2022-03-08,2021-22,3,Auburn
2022-03-08,2021-22,4,TCU
2022-03-08,2021-22,5,Georgia
2022-03-08,2021-22,6,Baylor
2022-03-08,2021-22,7,SMU
2022-03-08,2021-22,8,Fresno State
2022-03-08,2021-22,9,South Carolina
2022-03-08,2021-22,10,UT Martin
2022-03-15,2021-22,1,Oklahoma State
2022-03-15,2021-22,2,Auburn
2022-03-15,2021-22,3,Texas A&M
2022-03-15,2021-22,4,TCU
2022-03-15,2021-22,5,Georgia
2022-03-15,2021-22,6,Baylor
2022-03-15,2021-22,7,SMU
2022-03-15,2021-22,8,Fresno State
2022-03-15,2021-22,9,UT Martin
2022-03-15,2021-22,10,UC Davis
2022-09-20,2022-23,1,Oklahoma State
2022-09-20,2022-23,2,Texas A&M
2022-09-20,2022-23,3,TCU
2022-09-20,2022-23,4,SMU
2022-09-20,2022-23,5,Georgia
2022-09-20,2022-23,6,Auburn
2022-09-20,2022-23,7,Baylor
2022-09-20,2022-23,8,Fresno State
2022-09-20,2022-23,9,UT Martin
2022-09-20,2022-23,10,South Carolina
2022-09-27,2022-23,1,Oklahoma State
2022-09-27,2022-23,2,TCU
2022-09-27,2022-23,3,Texas A&M
2022-09-27,2022-23,4,SMU
2022-09-27,2022-23,5,Georgia
2022-09-27,2022-23,6,Auburn
2022-09-27,2022-23,7,Baylor
2022-09-27,2022-23,8,Fresno State
2022-09-27,2022-23,9,UT Martin
2022-09-27,2022-23,10,South Carolina
2022-10-04,2022-23,1,TCU
2022-10-04,2022-23,2,SMU
2022-10-04,2022-23,3,Texas A&M
2022-10-04,2022-23,4,Oklahoma State
2022-10-04,2022-23,5,Georgia
2022-10-04,2022-23,6,Auburn
2022-10-04,2022-23,7,South Carolina
2022-10-04,2022-23,8,Baylor
2022-10-04,2022-23,9,Fresno State
2022-10-04,2022-23,10,UT Martin
2022-10-11,2022-23,1,TCU
2022-10-11,2022-23,2,SMU
2022-10-11,2022-23,3,Texas A&M
2022-10-11,2022-23,4,Oklahoma State
2022-10-11,2022-23,5,Auburn
2022-10-11,2022-23,6,Georgia
2022-10-11,2022-23,7,South Carolina
2022-10-11,2022-23,8,Baylor
2022-10-11,2022-23,9,Fresno State
2022-10-11,2022-23,10,UT Martin
2022-10-18,2022-23,1,TCU
