"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Duncan Robinson","SG","mia",79,68,25.9,10.9,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.5,2.2,10.65,3.7,9.2,39.9,2.9,7.9,37.2,0.6,0.8,83.6,0.7,1.3,56.9,1.189,0.56
"Max Strus","SG","mia",68,16,23.3,10.6,0.4,2.6,3,1.4,0.4,0.2,0.8,1.7,1.6,12.75,3.7,8.3,44.1,2.7,6.5,41,0.6,0.8,79.2,1,1.8,55.7,1.278,0.6
"Caleb Martin","SF","mia",60,12,22.9,9.2,1.2,2.7,3.8,1.1,1,0.5,0.9,1.7,1.2,14.82,3.5,6.8,50.7,1.1,2.6,41.3,1.2,1.6,76.3,2.4,4.3,56.5,1.344,0.59
"Gabe Vincent","PG","mia",68,27,23.4,8.7,0.3,1.5,1.9,3.1,0.9,0.2,1.4,2.3,2.1,10.64,3.1,7.5,41.7,1.8,4.8,36.8,0.6,0.8,81.5,1.4,2.8,50,1.152,0.53
"P.J. Tucker","PF","mia",71,70,27.9,7.6,1.4,4,5.5,2.1,0.8,0.2,0.9,2.3,2.3,11.35,2.9,6,48.4,1.1,2.7,41.5,0.6,0.9,73.8,1.8,3.3,54,1.259,0.58
"Markieff Morris","PF","mia",17,1,17.5,7.6,1,1.6,2.6,1.4,0.4,0.1,1.2,1.9,1.2,10.96,3.2,6.7,47.4,0.8,2.3,33.3,0.5,0.5,88.9,2.4,4.4,54.7,1.132,0.53
"Mychal Mulder","G","mia",2,1,22,7,0,1.5,1.5,1,0,0.5,0,0.5,Inf,10.68,2,5,40,2,4,50,1,1,100,0,1,0,1.4,0.6
"Dewayne Dedmon","C","mia",67,15,15.9,6.3,1.6,4.2,5.8,0.7,0.4,0.6,1,2.6,0.7,15.9,2.4,4.3,56.6,0.3,0.7,40.4,1.1,1.5,75,2.2,3.6,59.7,1.455,0.6
"Nik Stauskas","G","mia",2,0,12,5.5,0.5,1,1.5,0.5,0,0,0,0.5,Inf,13.15,1.5,4,37.5,1,2,50,1.5,2,75,0.5,2,25,1.375,0.5
"Omer Yurtseven","C","mia",56,12,12.6,5.3,1.5,3.7,5.3,0.9,0.3,0.4,0.7,1.5,1.2,17.46,2.3,4.4,52.6,0,0.2,9.1,0.7,1.1,62.3,2.3,4.2,54.7,1.211,0.53
"Javonte Smart","G","mia",4,0,10,5,0.3,1,1.3,0.5,0.5,0.3,0.5,0.3,1,15.66,2,4.3,47.1,1,2.3,44.4,0,0,0,1,2,50,1.176,0.59
"Kyle Guy","SG","mia",19,0,9.8,3.9,0.2,0.7,0.9,0.9,0.4,0.1,0.7,0.6,1.3,9.56,1.4,3.4,40,0.7,2.1,35,0.4,0.6,66.7,0.6,1.3,48,1.138,0.51
"KZ Okpala","F","mia",21,0,11.6,3.7,0.5,1.4,2,0.7,0.2,0.3,0.2,1.2,2.8,10.49,1.4,3.3,43.5,0.4,1.2,34.6,0.4,0.5,72.7,1,2,48.8,1.116,0.5
"Chris Silva","F","mia",9,0,9.8,2.9,1.4,2.4,3.9,0.8,0,0.1,0.9,2.2,0.9,11.89,0.9,1.7,53.3,0,0,0,1.1,1.3,83.3,0.9,1.7,53.3,1.733,0.53
"Udonis Haslem","PF","mia",13,0,6.4,2.5,0.3,1.6,1.9,0.3,0.1,0.1,0.4,1.2,0.8,8.65,1.1,2.4,45.2,0.1,0.3,25,0.2,0.2,100,1,2.1,48.1,1.032,0.47
"Haywood Highsmith","F","mia",19,1,8.6,2.3,0.5,0.8,1.4,0.3,0.1,0.2,0.2,0.7,2,7.01,0.8,2.4,34.8,0.5,1.5,32.1,0.1,0.3,40,0.4,0.9,38.9,0.935,0.45
"Marcus Garrett","SG","mia",12,0,10.7,1.1,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,3.5,4.68,0.4,1.8,23.8,0.1,0.3,25,0.2,0.4,40,0.3,1.4,23.5,0.619,0.26
"Giannis Antetokounmpo","PF","mil",67,67,32.9,29.9,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,1.8,32.12,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,9.2,15,61.6,1.608,0.58
"Khris Middleton","SF","mil",66,66,32.4,20.1,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,1.9,18.19,6.8,15.5,44.3,2.5,6.6,37.3,3.9,4.4,89,4.4,8.9,49.4,1.298,0.52
"Jrue Holiday","PG","mil",67,64,32.9,18.3,1,3.5,4.5,6.8,1.6,0.4,2.7,2,2.5,19.84,7.1,14.2,50.1,2,4.8,41.1,2,2.7,76.1,5.2,9.4,54.7,1.284,0.57
"Bobby Portis","C","mil",72,59,28.2,14.6,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,1,17.79,5.8,12.1,47.9,1.8,4.7,39.3,1.2,1.6,75.2,3.9,7.4,53.3,1.208,0.56
"Brook Lopez","C","mil",13,11,22.9,12.4,1.5,2.6,4.1,0.5,0.6,1.2,0.9,2.6,0.5,16.06,4.7,10.1,46.6,1.5,4.1,35.8,1.5,1.8,87,3.2,6,53.8,1.229,0.54
"Grayson Allen","SG","mil",66,61,27.3,11.1,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,2.3,12.77,3.9,8.6,44.8,2.4,5.9,40.9,1,1.1,86.5,1.5,2.7,53.3,1.288,0.59
"Pat Connaughton","SG","mil",65,19,26,9.9,0.7,3.5,4.2,1.3,0.9,0.2,0.5,1.3,2.3,13.45,3.5,7.6,45.8,2.2,5.7,39.5,0.7,0.8,83.3,1.2,1.9,64.3,1.3,0.6
"DeMarcus Cousins","C","mil",17,5,16.9,9.1,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,1.1,19.09,3.2,6.9,46.6,0.8,2.8,27.1,1.8,2.2,81.6,2.5,4.1,60,1.305,0.52
"Jordan Nwora","SF","mil",62,13,19.1,7.9,0.6,3,3.6,1,0.4,0.3,0.9,1.3,1,9.96,3,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,1.7,3.8,45.5,1.054,0.49
"Rayjon Tucker","G","mil",2,0,21,7.5,1,1,2,3,1.5,0,0.5,1,6,20.49,2.5,3.5,71.4,1.5,1.5,100,1,1.5,66.7,1,2,50,2.143,0.93
