player,year,greens,holes,cut
Alex Noren,2020,169,298,Other
Alex Noren,2020,340,455,Fairway
Alex Noren,2020,15,30,Bunker
Andrew Landry,2020,134,261,Other
Andrew Landry,2020,421,579,Fairway
Andrew Landry,2020,20,41,Bunker
Andrew Putnam,2020,125,254,Other
Andrew Putnam,2020,272,365,Fairway
Andrew Putnam,2020,14,21,Bunker
Anirban Lahiri,2020,96,173,Other
Anirban Lahiri,2020,231,297,Fairway
Anirban Lahiri,2020,7,19,Bunker
Arjun Atwal,2020,78,134,Other
Arjun Atwal,2020,213,288,Fairway
Arjun Atwal,2020,5,11,Bunker
Austin Cook,2020,135,248,Other
Austin Cook,2020,441,560,Fairway
Austin Cook,2020,9,31,Bunker
Beau Hossler,2020,204,376,Other
Beau Hossler,2020,385,505,Fairway
Beau Hossler,2020,34,56,Bunker
Ben Martin,2020,83,163,Other
Ben Martin,2020,252,324,Fairway
Ben Martin,2020,6,16,Bunker
Ben Taylor,2020,118,215,Other
Ben Taylor,2020,271,340,Fairway
Ben Taylor,2020,16,32,Bunker
Bill Haas,2020,118,203,Other
Bill Haas,2020,296,377,Fairway
Bill Haas,2020,16,35,Bunker
Billy Horschel,2020,177,364,Other
Billy Horschel,2020,554,692,Fairway
Billy Horschel,2020,18,46,Bunker
Bo Hoag,2020,176,301,Other
Bo Hoag,2020,468,592,Fairway
Bo Hoag,2020,20,44,Bunker
Bo Van Pelt,2020,121,228,Other
Bo Van Pelt,2020,265,356,Fairway
Bo Van Pelt,2020,6,17,Bunker
Branden Grace,2020,125,226,Other
Branden Grace,2020,252,319,Fairway
Branden Grace,2020,19,28,Bunker
Brandon Hagy,2020,172,293,Other
Brandon Hagy,2020,257,328,Fairway
Brandon Hagy,2020,8,22,Bunker
Brandt Snedeker,2020,127,243,Other
Brandt Snedeker,2020,356,459,Fairway
Brandt Snedeker,2020,23,39,Bunker
Brendan Steele,2020,155,301,Other
Brendan Steele,2020,437,537,Fairway
Brendan Steele,2020,27,58,Bunker
Brendon Todd,2020,151,303,Other
Brendon Todd,2020,647,862,Fairway
Brendon Todd,2020,19,43,Bunker
Brian Gay,2020,171,309,Other
Brian Gay,2020,396,517,Fairway
Brian Gay,2020,27,55,Bunker
Brian Harman,2020,170,345,Other
Brian Harman,2020,531,691,Fairway
Brian Harman,2020,27,56,Bunker
Brian Stuard,2020,119,267,Other
Brian Stuard,2020,600,814,Fairway
Brian Stuard,2020,26,52,Bunker
Brice Garnett,2020,157,264,Other
Brice Garnett,2020,411,522,Fairway
Brice Garnett,2020,8,25,Bunker
Bronson Burgoon,2020,130,251,Other
Bronson Burgoon,2020,342,442,Fairway
Bronson Burgoon,2020,28,49,Bunker
Brooks Koepka,2020,115,217,Other
Brooks Koepka,2020,238,301,Fairway
Brooks Koepka,2020,25,42,Bunker
Bryson DeChambeau,2020,185,342,Other
Bryson DeChambeau,2020,401,498,Fairway
Bryson DeChambeau,2020,14,28,Bunker
Bubba Watson,2020,181,336,Other
Bubba Watson,2020,430,533,Fairway
Bubba Watson,2020,27,51,Bunker
Bud Cauley,2020,146,284,Other
Bud Cauley,2020,395,504,Fairway
Bud Cauley,2020,31,66,Bunker
Byeong Hun An,2020,220,415,Other
Byeong Hun An,2020,453,568,Fairway
Byeong Hun An,2020,36,63,Bunker
C.T. Pan,2020,146,271,Other
C.T. Pan,2020,360,470,Fairway
C.T. Pan,2020,17,39,Bunker
Cam Davis,2020,164,298,Other
